Scenario,Region,Variable,Unit,2019,2024,2030,2035,2040,2050
baseline_noce,AFN,Final Energy|Residential|Solids|Coal,EJ/yr,0.00012800003170211798,0.00010247571682984601,7.11694053091871e-05,1.32808593531136e-05,2.02471544744244e-06,9.51282974325892e-11
baseline_noce,AFN,Final Energy|Commercial|Electricity,EJ/yr,0.189525,0.209704153514995,0.227864151717341,0.243466012008148,0.274284400348761,0.360241312947329
baseline_noce,AFN,Final Energy|Commercial|Gases,EJ/yr,0.00825399999529977,0.00918766380178611,0.011169881429668401,0.0136559058178442,0.0140572514652946,0.00126985585405672
baseline_noce,AFN,Final Energy|Commercial|Gases|Gas,EJ/yr,0.00825399999529977,0.00918766380178611,0.011169881429668401,0.013655905543921,0.0140572511631888,0.00126985554987268
baseline_noce,AFN,Final Energy|Commercial|Hydrogen,EJ/yr,,4.61252682119487e-08,6.31494984396222e-10,6.26522182366784e-10,3.88161517195118e-10,3.23673779059358e-10
baseline_noce,AFN,Final Energy|Commercial|Heat,EJ/yr,,0.000116766438312803,0.00030132910311100604,0.000517032730588688,0.0007985553870589999,0.000609239104243466
baseline_noce,AFN,Final Energy|Commercial|Liquids,EJ/yr,0.0125970000056194,0.012442266096319298,0.0107672575372259,0.00769218883447391,0.00296739520882197,0.000614248514914887
baseline_noce,AFN,Final Energy|Commercial|Liquids|Oil,EJ/yr,0.0125970000056194,0.012442266096319298,0.0107672575372259,0.00769218876843665,0.00296739520882197,0.000614248514914887
baseline_noce,AFN,Final Energy|Commercial|Solids,EJ/yr,0.0334379999867078,0.016691820291459797,0.0026750561977911,1.3429848597359801e-08,2.67147150546431e-10,9.46222536598365e-11
baseline_noce,AFN,Final Energy|Transportation|Electricity,EJ/yr,0.00798699999999999,0.00965574891538227,0.0249722422528592,0.039772373331413806,0.121512823167735,0.27894467584627197
baseline_noce,AFN,Final Energy|Transportation|Gases,EJ/yr,0.0152759999892356,0.014657819215614699,0.0209083942861455,0.0219749465515393,0.0255993212894959,0.0290551173958951
baseline_noce,AFN,Final Energy|Transportation|Gases|Gas,EJ/yr,0.0152759999892356,0.014657819215614699,0.0209083942861455,0.0219749465515393,0.0255993212894959,0.0290551173958951
baseline_noce,AFN,Final Energy|Transportation|Hydrogen,EJ/yr,,0.000343747913285664,0.000453957520613053,0.0014299406440288899,0.0023853876406099398,0.006565466173021331
baseline_noce,AFN,Final Energy|Transportation|Liquids,EJ/yr,2.04404800000275,2.3110968677186903,2.7811476152875,3.2772558881579896,3.69262850378425,5.1994866436530005
baseline_noce,AFN,Final Energy|Transportation|Liquids|Oil,EJ/yr,2.04404800000275,2.31109684450365,2.77155031325668,3.25412773267408,3.59068993452856,4.9514750561063305
baseline_noce,AFW,Final Energy|Agriculture|Electricity,EJ/yr,0.00161000054304881,0.00183433572131316,0.00214564221583732,0.00722785055336112,0.00270846250695999,0.008661243350064449
baseline_noce,AFW,Final Energy|Agriculture|Gases,EJ/yr,,,,3.5991192131119304e-05,1.7598641001751e-07,1.5641500323883698e-09
baseline_noce,AFW,Final Energy|Agriculture|Liquids,EJ/yr,0.0119500040307039,0.0137447541403351,0.0160841013312421,0.018159583147642197,0.0203062419677666,0.024652618023077402
baseline_noce,AFW,Final Energy|Agriculture|Liquids|Oil,EJ/yr,0.0119500040307039,0.0137447541403351,0.0160841013312421,0.0181595815900302,0.0203062405393046,0.0246526155969094
baseline_noce,AFW,Final Energy|Agriculture|Solids,EJ/yr,0.008531002877484109,0.00962529698163612,0.0109761101521854,0.00728040324509292,0.0132521655950161,0.009980780094541609
baseline_noce,AFW,Final Energy|Industry|Electricity,EJ/yr,0.09074499972901179,0.09980270969601279,0.111062321213182,0.124582251996748,0.136562399254467,0.166345796201696
